MANDT;SPRAS;LAND1;REGIO;COUNC;BEZEI
100;ZH;HK;KLN;SK;西贡
100;ZH;HK;KLN;SKM;石硖尾
100;ZH;HK;KLN;SPK;新蒲岗
100;ZH;HK;KLN;SSP;深水埗
100;ZH;HK;KLN;TKO;将军澳
100;ZH;HK;KLN;TKT;大角咀
100;ZH;HK;KLN;TKW;土瓜湾
100;ZH;HK;KLN;TM;屯门
100;ZH;HK;KLN;TST;尖沙咀
100;ZH;HK;KLN;TSW;荃湾
100;ZH;HK;KLN;TWS;慈云山
100;ZH;HK;KLN;WTS;黄大仙
100;ZH;HK;KLN;YMT;油麻尾
100;ZH;HK;NT;FL;粉岭
100;ZH;HK;NT;FT;火炭
100;ZH;HK;NT;KC;葵涌
100;ZH;HK;NT;KF;葵芳
100;ZH;HK;NT;KH;葵兴
100;ZH;HK;NT;MOS;马鞍山
100;ZH;HK;NT;SHA;沙田
100;ZH;HK;NT;SS;上水
100;ZH;HK;NT;ST;深井
100;ZH;HK;NT;TM;屯门
100;ZH;HK;NT;TP;大埔
100;ZH;HK;NT;TS;天水围
100;ZH;HK;NT;TSW;荃湾
100;ZH;HK;NT;TW;大围
100;ZH;HK;NT;TWH;大窝口
100;ZH;HK;NT;TY;青衣
100;ZH;HK;NT;YL;元朗
100;ZH;MX;DF;#NV;联邦地区
100;ZH;MX;GTO;#NV;瓜纳华托
100;ZH;TW;FJN;022;金门县
100;ZH;TW;FJN;023;连江县
100;ZH;TW;TWN;001;基隆市
100;ZH;TW;TWN;002;台北县
100;ZH;TW;TWN;003;宜兰县
100;ZH;TW;TWN;004;新竹市
100;ZH;TW;TWN;005;新竹县
100;ZH;TW;TWN;006;桃园县
100;ZH;TW;TWN;007;苗栗县
100;ZH;TW;TWN;008;台中市
100;ZH;TW;TWN;009;台中县
100;ZH;TW;TWN;010;彰化县
100;ZH;TW;TWN;011;南投县
100;ZH;TW;TWN;012;嘉义市
100;ZH;TW;TWN;013;嘉义县
100;ZH;TW;TWN;014;云林县
100;ZH;TW;TWN;015;台南市
100;ZH;TW;TWN;016;台南县
100;ZH;TW;TWN;017;高雄县
100;ZH;TW;TWN;018;澎湖县
100;ZH;TW;TWN;019;屏东县
100;ZH;TW;TWN;020;台东县
100;ZH;TW;TWN;021;花莲县
100;ZH;TW;TWN;024;南海诸岛
100;ZH;TW;TWN;025;钓鱼台列岛
100;ZH;US;AK;001;AK中的县
100;ZH;US;AL;001;AL中的县
100;ZH;US;AR;001;AR中的县
100;ZH;US;AS;001;AS中的县
100;ZH;US;AZ;001;AZ中的县
100;ZH;US;CA;001;CA中的县
100;ZH;US;CO;001;CO中的县
100;ZH;US;CT;001;CT中的县
100;ZH;US;DC;001;DC中的县
100;ZH;US;DE;001;DE中的县
100;ZH;US;FL;001;FL中的县
100;ZH;US;GA;001;GA中的县
100;ZH;US;GU;001;GU中的县
100;ZH;US;HI;001;HI中的县
100;ZH;US;IA;001;IA中的县
100;ZH;US;ID;001;ID中的县
100;ZH;US;IL;001;IL中的县
100;ZH;US;IN;001;IN中的县
100;ZH;US;KS;001;KS中的县
100;ZH;US;KY;001;KY中的县
100;ZH;US;LA;001;LA中的县
100;ZH;US;MA;001;MA中的县
100;ZH;US;MD;001;MD中的县
100;ZH;US;ME;001;ME中的县
100;ZH;US;MI;001;MI中的县
100;ZH;US;MN;001;MN中的县
100;ZH;US;MO;001;MO中的县
100;ZH;US;MP;001;MP中的县
100;ZH;US;MS;001;MS中的县
100;ZH;US;MT;001;MT中的县
100;ZH;US;NC;001;NC中的县
100;ZH;US;ND;001;ND中的县
100;ZH;US;NE;001;NE中的县
100;ZH;US;NH;001;NH中的县
100;ZH;US;NJ;001;NJ中的县
100;ZH;US;NM;001;NM中的县
100;ZH;US;NV;001;NV中的县
100;ZH;US;NY;001;NY中的县
100;ZH;US;OH;001;OH中的县
100;ZH;US;OK;001;OK中的县
100;ZH;US;OR;001;OR中的县
100;ZH;US;PA;001;PA中的县
100;ZH;US;PR;001;PR中的县
100;ZH;US;RI;001;RI中的县
100;ZH;US;SC;001;SC中的县
100;ZH;US;SD;001;SD中的县
100;ZH;US;TN;001;TN中的县
100;ZH;US;TX;001;TX中的县
100;ZH;US;UT;001;UT中的县
100;ZH;US;VA;001;VA中的县
100;ZH;US;VI;001;VI中的县
100;ZH;US;VT;001;VT中的县
100;ZH;US;WA;001;WA中的县
100;ZH;US;WI;001;WI中的县
100;ZH;US;WV;001;WV中的县
100;ZH;US;WY;001;WY中的县
100;TH;DK;001;101;Koebenhavn skat&told
100;TH;DK;001;102;Allerod
100;TH;DK;001;103;Ballerup
100;TH;DK;001;104;Bornholm
100;TH;DK;001;105;Brondby
100;TH;DK;001;106;Dragor
100;TH;DK;001;107;Egedal
100;TH;DK;001;108;Fredensborg
100;TH;DK;001;109;Frederiksberg
100;TH;DK;001;110;Frederikssund
100;TH;DK;001;111;Frederiksvaerk-Hunde
100;TH;DK;001;112;Fureso
100;TH;DK;001;113;Gentofte
100;TH;DK;001;114;Gladsaxe
100;TH;DK;001;115;Glostrup
100;TH;DK;001;116;Gribskov
100;TH;DK;001;117;Helsingor
100;TH;DK;001;118;Herlev
100;TH;DK;001;119;Hillerod
100;TH;DK;001;120;Hvidovre
100;TH;DK;001;121;Hoje-Taastrup
100;TH;DK;001;122;Horsholm
100;TH;DK;001;123;Ishoj
100;TH;DK;001;124;Copenhagen
100;TH;DK;001;125;Lyngby-Tarbaek
100;TH;DK;001;126;Rudersdal
100;TH;DK;001;127;Rodovre
100;TH;DK;001;128;Tarnby
100;TH;DK;001;129;Vallensbaek
100;TH;DK;002;201;Favrskov
100;TH;DK;002;202;Hedensted
100;TH;DK;002;203;Herning
100;TH;DK;002;204;Holstebro
100;TH;DK;002;205;Horsens
100;TH;DK;002;206;Ikast-Brande
100;TH;DK;002;207;Lemvig
100;TH;DK;002;208;Norddjurs
100;TH;DK;002;209;Odder
100;TH;DK;002;210;Randers
100;TH;DK;002;211;Ringkobing-Skjern
100;TH;DK;002;212;Samso
100;TH;DK;002;213;Silkeborg
100;TH;DK;002;214;Skanderborg
100;TH;DK;002;215;Skive
100;TH;DK;002;216;Struer
100;TH;DK;002;217;Syddjurs
100;TH;DK;002;218;Viborg
100;TH;DK;003;301;Bronderslev-Dronning
100;TH;DK;003;302;Frederikshavn
100;TH;DK;003;303;Hjorring
100;TH;DK;003;304;Jammerbugt
100;TH;DK;003;305;Laeso
100;TH;DK;003;306;Mariagerfjord
100;TH;DK;003;307;Morso
100;TH;DK;003;308;Rebild
100;TH;DK;003;309;Thisted
100;TH;DK;003;310;Vesthimmerland
100;TH;DK;003;311;Aalborg
100;TH;DK;004;401;Faxe
100;TH;DK;004;402;Greve
100;TH;DK;004;403;Guldborgsund
100;TH;DK;004;404;Holbaek
100;TH;DK;004;405;Kalundborg
100;TH;DK;004;406;Koge
100;TH;DK;004;407;Lejre
100;TH;DK;004;408;Lolland
100;TH;DK;004;409;Naestved
100;TH;DK;004;410;Odsherred
100;TH;DK;004;411;Ringsted
100;TH;DK;004;412;Roskilde
100;TH;DK;004;413;Slagelse
100;TH;DK;004;414;Solrod
100;TH;DK;004;415;Soro
100;TH;DK;004;416;Stevns
100;TH;DK;004;417;Vordingborg
100;TH;DK;005;501;Assens
100;TH;DK;005;502;Billund
100;TH;DK;005;503;Faaborg-Midtfyn
100;TH;DK;005;504;Fano
100;TH;DK;005;505;Frederica
100;TH;DK;005;506;Haderslev
100;TH;DK;005;507;Kerteminde
100;TH;DK;005;508;Kolding
100;TH;DK;005;509;Langeland
100;TH;DK;005;510;Middelfart
100;TH;DK;005;511;Nordfyn
100;TH;DK;005;512;Nyborg
100;TH;DK;005;513;Odense
100;TH;DK;005;514;Svendborg
100;TH;DK;005;515;Sonderborg
100;TH;DK;005;516;Varde
100;TH;DK;005;517;Vejen
100;TH;DK;005;518;Vejle
100;TH;DK;005;519;Aero
100;TH;DK;005;520;Aabenraa
100;TH;HK;HK;ABR;Aberdeen
100;TH;HK;HK;APC;Ap Lei Chau
100;TH;HK;HK;CBY;Causeway Bay
100;TH;HK;HK;CCH;Cheung Chau
100;TH;HK;HK;CEN;ส่วนกลาง
100;TH;HK;HK;CHK;Chung Hom Kok
100;TH;HK;HK;CW;Chai Wan
100;TH;HK;HK;FOR;Fortress Hill
100;TH;HK;HK;HAP;Happy Valley
100;TH;HK;HK;KOR;Kornhill
100;TH;HK;HK;KT;Kennedy Town
100;TH;HK;HK;LAN;Lantau Island
100;TH;HK;HK;LI;Lamma Island
100;TH;HK;HK;MID;Mid-Levels
100;TH;HK;HK;NP;North Point
100;TH;HK;HK;PFL;Pokfulam
100;TH;HK;HK;PSH;Ping Shau
100;TH;HK;HK;QUA;Quarry Bay
100;TH;HK;HK;REP;Repulse Bay
100;TH;HK;HK;SHO;Shek O
100;TH;HK;HK;SKW;Shau Kei Wan
100;TH;HK;HK;SSW;Siu Sai Wan
100;TH;HK;HK;STN;Stanley
100;TH;HK;HK;SW;Sheung Wan
100;TH;HK;HK;SWH;Sai Wan Ho
100;TH;HK;HK;SYP;Sai Ying Pun
100;TH;HK;HK;THG;Tai Hang
100;TH;HK;HK;TIN;Tin Hau
100;TH;HK;HK;TKS;Tai Koo Shing
100;TH;HK;HK;TTM;Tai Tam
100;TH;HK;HK;WCH;Wanchai
100;TH;HK;HK;WES;Western District
100;TH;HK;HK;WON;Wong Chuk Hang
100;TH;HK;HK;WP;West Point
100;TH;HK;KLN;CH;Choi Hung
100;TH;HK;KLN;CSW;Cheung Sha Wan
100;TH;HK;KLN;DIA;Diamond Hill
100;TH;HK;KLN;HM;Hung Hom
100;TH;HK;KLN;HMT;Homantin
100;TH;HK;KLN;JOR;Jordan
100;TH;HK;KLN;KBA;Kowloon Bay
100;TH;HK;KLN;KLC;Kowloon City
100;TH;HK;KLN;KT;Kwun Tong
100;TH;HK;KLN;KTG;Kowloon Tong
100;TH;HK;KLN;KWF;Kwai Fong
100;TH;HK;KLN;LCK;Lai Chi Kok
100;TH;HK;KLN;LF;Lok Fu
100;TH;HK;KLN;LK;Lai King
100;TH;HK;KLN;LT;Lam Tin
100;TH;HK;KLN;MF;Mei Foo
100;TH;HK;KLN;MKO;Mongkok
100;TH;HK;KLN;NCW;Ngau Che Wan
100;TH;HK;KLN;NTK;Ngau Tau Kok
100;TH;HK;KLN;SK;Sai Kung
100;TH;HK;KLN;SKM;Sheck kip Mei
100;TH;HK;KLN;SPK;San Po Kong
100;TH;HK;KLN;SSP;Sham Shui Po
100;TH;HK;KLN;TKO;Tseung Kwan O
100;TH;HK;KLN;TKT;Tai Kok Tsui
100;TH;HK;KLN;TKW;To Kwa Wan
100;TH;HK;KLN;TM;Tuen Mun
100;TH;HK;KLN;TST;Tsim Sha Tsui
100;TH;HK;KLN;TSW;Tsuen Wan
100;TH;HK;KLN;TWS;Tsz Wan Shan
100;TH;HK;KLN;WTS;Wong Tai Sin
100;TH;HK;KLN;YMT;Yau Ma Mei
100;TH;HK;NT;FL;Fanling
100;TH;HK;NT;FT;Fo Tan
100;TH;HK;NT;KC;Kwai Chung
100;TH;HK;NT;KF;Kwai Fong
100;TH;HK;NT;KH;Kwai Hing
100;TH;HK;NT;MOS;Ma On Shan
100;TH;HK;NT;SHA;Shatin
100;TH;HK;NT;SS;Sheung Shui
100;TH;HK;NT;ST;Sham Tseng
100;TH;HK;NT;TM;Tuen Mun
100;TH;HK;NT;TP;Tai Po
100;TH;HK;NT;TS;Tin Shui Wai
100;TH;HK;NT;TSW;Tsuen Wan
100;TH;HK;NT;TW;Tai Wai
100;TH;HK;NT;TWH;Tai Wo Hau
100;TH;HK;NT;TY;Tsing Yi
100;TH;HK;NT;YL;Yuen Long
100;TH;MX;DF;#NV;Federal District
100;TH;MX;GTO;#NV;Guanajuato
100;TH;TW;FJN;022;Kinmen County
100;TH;TW;FJN;023;Lianjiang County
100;TH;TW;TWN;001;Keelung City
100;TH;TW;TWN;002;Taipei County
100;TH;TW;TWN;003;Ilan County
100;TH;TW;TWN;004;Hsinchu City
100;TH;TW;TWN;005;Hsinchu County
100;TH;TW;TWN;006;Taoyuan County
100;TH;TW;TWN;007;Miaoli County
100;TH;TW;TWN;008;Taichung City
100;TH;TW;TWN;009;Taichung County
100;TH;TW;TWN;010;Changhua County
100;TH;TW;TWN;011;Nantou County
100;TH;TW;TWN;012;Chiai City
100;TH;TW;TWN;013;Chiai County
100;TH;TW;TWN;014;Yunlin County
100;TH;TW;TWN;015;Tainan City
100;TH;TW;TWN;016;Tainan County
100;TH;TW;TWN;017;Kaohsiung County
100;TH;TW;TWN;018;Penghu County
100;TH;TW;TWN;019;Pingtung County
100;TH;TW;TWN;020;Taitung County
100;TH;TW;TWN;021;Hualien County
100;TH;TW;TWN;024;Nanhai Islands
100;TH;TW;TWN;025;Diaoyutai Islands
100;TH;US;AK;001;County in AK
100;TH;US;AL;001;County in AL
100;TH;US;AR;001;County in AR
100;TH;US;AS;001;County in AS
100;TH;US;AZ;001;County in AZ
100;TH;US;CA;001;County in CA
100;TH;US;CO;001;County in CO
100;TH;US;CT;001;County in CT
100;TH;US;DC;001;County in DC
100;TH;US;DE;001;County in DE
100;TH;US;FL;001;County in FL
100;TH;US;GA;001;County in GA
100;TH;US;GU;001;County in GU
100;TH;US;HI;001;County in HI
100;TH;US;IA;001;County in IA
100;TH;US;ID;001;County in ID
100;TH;US;IL;001;County in IL
100;TH;US;IN;001;County in IN
100;TH;US;KS;001;County in KS
100;TH;US;KY;001;County in KY
100;TH;US;LA;001;County in LA
100;TH;US;MA;001;County in MA
100;TH;US;MD;001;County in MD
100;TH;US;ME;001;County in ME
100;TH;US;MI;001;County in MI
100;TH;US;MN;001;County in MN
100;TH;US;MO;001;County in MO
100;TH;US;MP;001;County in MP
100;TH;US;MS;001;County in MS
100;TH;US;MT;001;County in MT
100;TH;US;NC;001;County in NC
100;TH;US;ND;001;County in ND
100;TH;US;NE;001;County in NE
100;TH;US;NH;001;County in NH
100;TH;US;NJ;001;County in NJ
100;TH;US;NM;001;County in NM
100;TH;US;NV;001;County in NV
100;TH;US;NY;001;County in NY
100;TH;US;OH;001;County in OH
100;TH;US;OK;001;County in OK
100;TH;US;OR;001;County in OR
100;TH;US;PA;001;County in PA
100;TH;US;PR;001;County in PR
100;TH;US;RI;001;County in RI
100;TH;US;SC;001;County in SC
100;TH;US;SD;001;County in SD
100;TH;US;TN;001;County in TN
100;TH;US;TX;001;County in TX
100;TH;US;UT;001;County in UT
100;TH;US;VA;001;County in VA
100;TH;US;VI;001;County in VI
100;TH;US;VT;001;County in VT
100;TH;US;WA;001;County in WA
100;TH;US;WI;001;County in WI
100;TH;US;WV;001;County in WV
100;TH;US;WY;001;County in WY
100;KO;DK;001;101;Koebenhavn skat&told
100;KO;DK;001;102;Allerod
100;KO;DK;001;103;Ballerup
100;KO;DK;001;104;Bornholm
100;KO;DK;001;105;Brondby
100;KO;DK;001;106;Dragor
100;KO;DK;001;107;Egedal
100;KO;DK;001;108;Fredensborg
100;KO;DK;001;109;Frederiksberg
100;KO;DK;001;110;Frederikssund
100;KO;DK;001;111;Frederiksvaerk-Hunde
100;KO;DK;001;112;Fureso
100;KO;DK;001;113;Gentofte
100;KO;DK;001;114;Gladsaxe
100;KO;DK;001;115;Glostrup
100;KO;DK;001;116;Gribskov
100;KO;DK;001;117;Helsingor
100;KO;DK;001;118;Herlev
100;KO;DK;001;119;Hillerod
100;KO;DK;001;120;Hvidovre
100;KO;DK;001;121;Hoje-Taastrup
100;KO;DK;001;122;Horsholm
100;KO;DK;001;123;Ishoj
100;KO;DK;001;124;Copenhagen
100;KO;DK;001;125;Lyngby-Tarbaek
100;KO;DK;001;126;Rudersdal
100;KO;DK;001;127;Rodovre
100;KO;DK;001;128;Tarnby
100;KO;DK;001;129;Vallensbaek
100;KO;DK;002;201;Favrskov
100;KO;DK;002;202;Hedensted
100;KO;DK;002;203;Herning
100;KO;DK;002;204;Holstebro
100;KO;DK;002;205;Horsens
100;KO;DK;002;206;Ikast-Brande
100;KO;DK;002;207;Lemvig
100;KO;DK;002;208;Norddjurs
100;KO;DK;002;209;Odder
100;KO;DK;002;210;Randers
100;KO;DK;002;211;Ringkobing-Skjern
100;KO;DK;002;212;Samso
100;KO;DK;002;213;Silkeborg
100;KO;DK;002;214;Skanderborg
100;KO;DK;002;215;Skive
100;KO;DK;002;216;Struer
100;KO;DK;002;217;Syddjurs
100;KO;DK;002;218;Viborg
100;KO;DK;003;301;Bronderslev-Dronning
100;KO;DK;003;302;Frederikshavn
100;KO;DK;003;303;Hjorring
100;KO;DK;003;304;Jammerbugt
100;KO;DK;003;305;Laeso
100;KO;DK;003;306;Mariagerfjord
100;KO;DK;003;307;Morso
100;KO;DK;003;308;Rebild
100;KO;DK;003;309;Thisted
100;KO;DK;003;310;Vesthimmerland
100;KO;DK;003;311;Aalborg
100;KO;DK;004;401;Faxe
100;KO;DK;004;402;Greve
100;KO;DK;004;403;Guldborgsund
100;KO;DK;004;404;Holbaek
100;KO;DK;004;405;Kalundborg
100;KO;DK;004;406;Koge
100;KO;DK;004;407;Lejre
100;KO;DK;004;408;Lolland
100;KO;DK;004;409;Naestved
100;KO;DK;004;410;Odsherred
100;KO;DK;004;411;Ringsted
100;KO;DK;004;412;Roskilde
100;KO;DK;004;413;Slagelse
100;KO;DK;004;414;Solrod
100;KO;DK;004;415;Soro
100;KO;DK;004;416;Stevns
100;KO;DK;004;417;Vordingborg
100;KO;DK;005;501;Assens
100;KO;DK;005;502;Billund
100;KO;DK;005;503;Faaborg-Midtfyn
100;KO;DK;005;504;Fano
100;KO;DK;005;505;Frederica
100;KO;DK;005;506;Haderslev
100;KO;DK;005;507;Kerteminde
100;KO;DK;005;508;Kolding
100;KO;DK;005;509;Langeland
100;KO;DK;005;510;Middelfart
100;KO;DK;005;511;Nordfyn
100;KO;DK;005;512;Nyborg
100;KO;DK;005;513;Odense
100;KO;DK;005;514;Svendborg
100;KO;DK;005;515;Sonderborg
100;KO;DK;005;516;Varde
100;KO;DK;005;517;Vejen
100;KO;DK;005;518;Vejle
100;KO;DK;005;519;Aero
100;KO;DK;005;520;Aabenraa
100;KO;HK;HK;ABR;Aberdeen
100;KO;HK;HK;APC;Ap Lei Chau
100;KO;HK;HK;CBY;Causeway Bay
100;KO;HK;HK;CCH;Cheung Chau
100;KO;HK;HK;CEN;Central
100;KO;HK;HK;CHK;Chung Hom Kok
100;KO;HK;HK;CW;Chai Wan
100;KO;HK;HK;FOR;Fortress Hill
100;KO;HK;HK;HAP;Happy Valley
100;KO;HK;HK;KOR;Kornhill
100;KO;HK;HK;KT;Kennedy Town
100;KO;HK;HK;LAN;Lantau Island
100;KO;HK;HK;LI;Lamma Island
100;KO;HK;HK;MID;Mid-Levels
100;KO;HK;HK;NP;North Point
100;KO;HK;HK;PFL;Pokfulam
100;KO;HK;HK;PSH;Ping Shau
100;KO;HK;HK;QUA;Quarry Bay
100;KO;HK;HK;REP;Repulse Bay
100;KO;HK;HK;SHO;Shek O
100;KO;HK;HK;SKW;Shau Kei Wan
100;KO;HK;HK;SSW;Siu Sai Wan
100;KO;HK;HK;STN;Stanley
100;KO;HK;HK;SW;Sheung Wan
100;KO;HK;HK;SWH;Sai Wan Ho
100;KO;HK;HK;SYP;Sai Ying Pun
100;KO;HK;HK;THG;Tai Hang
100;KO;HK;HK;TIN;Tin Hau
100;KO;HK;HK;TKS;Tai Koo Shing
100;KO;HK;HK;TTM;Tai Tam
100;KO;HK;HK;WCH;Wanchai
100;KO;HK;HK;WES;Western District
100;KO;HK;HK;WON;Wong Chuk Hang
100;KO;HK;HK;WP;West Point
100;KO;HK;KLN;CH;Choi Hung
100;KO;HK;KLN;CSW;Cheung Sha Wan
100;KO;HK;KLN;DIA;Diamond Hill
100;KO;HK;KLN;HM;Hung Hom
100;KO;HK;KLN;HMT;Homantin
100;KO;HK;KLN;JOR;Jordan
100;KO;HK;KLN;KBA;Kowloon Bay
100;KO;HK;KLN;KLC;Kowloon City
100;KO;HK;KLN;KT;Kwun Tong
100;KO;HK;KLN;KTG;Kowloon Tong
100;KO;HK;KLN;KWF;Kwai Fong
100;KO;HK;KLN;LCK;Lai Chi Kok
100;KO;HK;KLN;LF;Lok Fu
100;KO;HK;KLN;LK;Lai King
100;KO;HK;KLN;LT;Lam Tin
100;KO;HK;KLN;MF;Mei Foo
100;KO;HK;KLN;MKO;Mongkok
100;KO;HK;KLN;NCW;Ngau Che Wan
100;KO;HK;KLN;NTK;Ngau Tau Kok
100;KO;HK;KLN;SK;Sai Kung
100;KO;HK;KLN;SKM;Sheck kip Mei
100;KO;HK;KLN;SPK;San Po Kong
100;KO;HK;KLN;SSP;Sham Shui Po
100;KO;HK;KLN;TKO;Tseung Kwan O
100;KO;HK;KLN;TKT;Tai Kok Tsui
100;KO;HK;KLN;TKW;To Kwa Wan
100;KO;HK;KLN;TM;Tuen Mun
100;KO;HK;KLN;TST;Tsim Sha Tsui
100;KO;HK;KLN;TSW;Tsuen Wan
100;KO;HK;KLN;TWS;Tsz Wan Shan
100;KO;HK;KLN;WTS;Wong Tai Sin
100;KO;HK;KLN;YMT;Yau Ma Mei
100;KO;HK;NT;FL;Fanling
100;KO;HK;NT;FT;Fo Tan
100;KO;HK;NT;KC;Kwai Chung
100;KO;HK;NT;KF;Kwai Fong
100;KO;HK;NT;KH;Kwai Hing
100;KO;HK;NT;MOS;Ma On Shan
100;KO;HK;NT;SHA;Shatin
100;KO;HK;NT;SS;Sheung Shui
100;KO;HK;NT;ST;Sham Tseng
100;KO;HK;NT;TM;Tuen Mun
100;KO;HK;NT;TP;Tai Po
100;KO;HK;NT;TS;Tin Shui Wai
100;KO;HK;NT;TSW;Tsuen Wan
100;KO;HK;NT;TW;Tai Wai
